SN,Institution,Region
224," G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune",Pune
225," Sinhgad College of Engineering, Vadgaon (BK), Pune",Pune
226," Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",Pune
227," Indira College of Engineering & Management, Pune",Pune
228," Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",Pune
229, Al,Pune
230," K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",Pune
231," Sinhagad Institute of Technology, Lonavala",Pune
232," Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa",Pune
233," Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",Pune
234," Pune District Education Association's College of Engineering, Pune",Pune
235," Dr. D. Y. Patil Vidya Pratishthan Society’s Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",Pune
236," K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",Pune
237," Shri. Balasaheb Mane Shikshan Prasarak Mandal's, Ashokrao Mane Group of Institutions",Pune
238, KSGBS's Bharat,Pune
239," Shri Vithal Education and Research Institute's College of Engineering, Pandharpur",Pune
240," Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",Pune
241," Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur",Pune
242," D.Y. Patil College of Engineering and Technology, Kolhapur",Pune
243," Walchand Institute of Technology, Solapur",Pune
244," Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Pune
245," Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Pune
246," Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli",Pune
247," Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara",Pune
248," Pune Institute of Computer Technology, Dhankavdi, Pune",Pune
249," Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",Pune
250," Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",Pune
251," Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of Management, Pune",Pune
252," Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon",Pune
253," MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune",Pune
254," Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",Pune
255," All India Shri Shivaji Memorial Society's College of Engineering, Pune",Pune
256," Modern Education Society's College of Engineering, Pune",Pune
257," All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",Pune
258," Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",Pune
259," Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",Pune
260," Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",Pune
261," Bharati Vidyapeeth's College of Engineering, Kolhapur",Pune
262," B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune",Pune
263," Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur",Pune
264," Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",Pune
265," Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad",Pune
266," Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli",Pune
267," S.D.N.C.R.E.S'S.Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara",Pune
268," Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",Pune
269," Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)",Pune
270," Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",Pune
271," Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",Pune
272," Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District",Pune
273, Holy,Pune
274," Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",Pune
275," Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",Pune
276," K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",Pune
277," Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur",Pune
278," Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi",Pune
279," Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor",Pune
280," Alard Charitable Trust's Alard College of Engineering and Management, Pune",Pune
281," Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur",Pune
282," Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune",Pune
283," Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad",Pune
284," Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara.",Pune
285," Jaihind College Of Engineering,Kuran",Pune
286, ISBM College Of Engineering Pune,Pune
287," Universal College of Engineering & Research, Sasewadi",Pune
288," Dattakala Group Of Institutions, Swami ",Pune
289, Navsahyadri Education Society's Group of Institutions,Pune
290," KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",Pune
291," Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune",Pune
292," N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",Pune
293," S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Pune
294," Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",Pune
295," TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",Pune
296," Dr. D. Y. Patil School OF Engineering, Lohegaon, Pune",Pune
297," International Institute of Information Technology (I²IT), Pune.",Pune
