ID,CollegeName,CourseName,Caste
502," Walchand College of Engineering, Sangli",Electrical Engineering,LVJS
503," Walchand College of Engineering, Sangli",Electrical Engineering,LOBCS
504," Walchand College of Engineering, Sangli",Electrical Engineering,LNT1S
517," Walchand College of Engineering, Sangli",Mechanical Engineering,GOPENS
518," Walchand College of Engineering, Sangli",Mechanical Engineering,GSCS
519," Walchand College of Engineering, Sangli",Mechanical Engineering,GSTS
520," Walchand College of Engineering, Sangli",Mechanical Engineering,GVJS
521," Walchand College of Engineering, Sangli",Mechanical Engineering,GOBCS
522," Walchand College of Engineering, Sangli",Mechanical Engineering,GNT1S
523," Walchand College of Engineering, Sangli",Mechanical Engineering,LOPENS
524," Walchand College of Engineering, Sangli",Mechanical Engineering,LSCS
525," Walchand College of Engineering, Sangli",Mechanical Engineering,LSTS
526," Walchand College of Engineering, Sangli",Mechanical Engineering,LVJS
527," Walchand College of Engineering, Sangli",Mechanical Engineering,LOBCS
528," Walchand College of Engineering, Sangli",Mechanical Engineering,LNT1S
625," Department of Technology, Shivaji University, Kolhapur",Civil Engineering,GOPENS
626," Department of Technology, Shivaji University, Kolhapur",Civil Engineering,GSCS
627," Department of Technology, Shivaji University, Kolhapur",Civil Engineering,GSTS
628," Department of Technology, Shivaji University, Kolhapur",Civil Engineering,GVJS
629," Department of Technology, Shivaji University, Kolhapur",Civil Engineering,GOBCS
630," Department of Technology, Shivaji University, Kolhapur",Civil Engineering,GNT1S
631," Department of Technology, Shivaji University, Kolhapur",Civil Engineering,LOPENS
632," Department of Technology, Shivaji University, Kolhapur",Civil Engineering,LSCS
633," Department of Technology, Shivaji University, Kolhapur",Civil Engineering,LSTS
634," Department of Technology, Shivaji University, Kolhapur",Civil Engineering,LVJS
635," Department of Technology, Shivaji University, Kolhapur",Civil Engineering,LOBCS
636," Department of Technology, Shivaji University, Kolhapur",Civil Engineering,LNT1S
673," Department of Technology, Shivaji University, Kolhapur",Mechanical Engineering,GOPENS
674," Department of Technology, Shivaji University, Kolhapur",Mechanical Engineering,GSCS
675," Department of Technology, Shivaji University, Kolhapur",Mechanical Engineering,GSTS
676," Department of Technology, Shivaji University, Kolhapur",Mechanical Engineering,GVJS
677," Department of Technology, Shivaji University, Kolhapur",Mechanical Engineering,GOBCS
678," Department of Technology, Shivaji University, Kolhapur",Mechanical Engineering,GNT1S
679," Department of Technology, Shivaji University, Kolhapur",Mechanical Engineering,LOPENS
680," Department of Technology, Shivaji University, Kolhapur",Mechanical Engineering,LSCS
681," Department of Technology, Shivaji University, Kolhapur",Mechanical Engineering,LSTS
682," Department of Technology, Shivaji University, Kolhapur",Mechanical Engineering,LVJS
683," Department of Technology, Shivaji University, Kolhapur",Mechanical Engineering,LOBCS
684," Department of Technology, Shivaji University, Kolhapur",Mechanical Engineering,LNT1S
685," Department of Technology, Shivaji University, Kolhapur",Food Technology,GOPENS
686," Department of Technology, Shivaji University, Kolhapur",Food Technology,GSCS
687," Department of Technology, Shivaji University, Kolhapur",Food Technology,GSTS
688," Department of Technology, Shivaji University, Kolhapur",Food Technology,GVJS
689," Department of Technology, Shivaji University, Kolhapur",Food Technology,GOBCS
690," Department of Technology, Shivaji University, Kolhapur",Food Technology,GNT1S
691," Department of Technology, Shivaji University, Kolhapur",Food Technology,LOPENS
692," Department of Technology, Shivaji University, Kolhapur",Food Technology,LSCS
693," Department of Technology, Shivaji University, Kolhapur",Food Technology,LSTS
694," Department of Technology, Shivaji University, Kolhapur",Food Technology,LVJS
695," Department of Technology, Shivaji University, Kolhapur",Food Technology,LOBCS
696," Department of Technology, Shivaji University, Kolhapur",Food Technology,LNT1S
697," Department of Technology, Shivaji University, Kolhapur",Chemical Engineering,GOPENS
698," Department of Technology, Shivaji University, Kolhapur",Chemical Engineering,GSCS
699," Department of Technology, Shivaji University, Kolhapur",Chemical Engineering,GSTS
700," Department of Technology, Shivaji University, Kolhapur",Chemical Engineering,GVJS
701," Department of Technology, Shivaji University, Kolhapur",Chemical Engineering,GOBCS
702," Department of Technology, Shivaji University, Kolhapur",Chemical Engineering,GNT1S
703," Department of Technology, Shivaji University, Kolhapur",Chemical Engineering,LOPENS
704," Department of Technology, Shivaji University, Kolhapur",Chemical Engineering,LSCS
705," Department of Technology, Shivaji University, Kolhapur",Chemical Engineering,LSTS
706," Department of Technology, Shivaji University, Kolhapur",Chemical Engineering,LVJS
707," Department of Technology, Shivaji University, Kolhapur",Chemical Engineering,LOBCS
708," Department of Technology, Shivaji University, Kolhapur",Chemical Engineering,LNT1S
781," TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Civil Engineering,GOPENS
782," TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Civil Engineering,GSCS
783," TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Civil Engineering,GSTS
784," TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Civil Engineering,GVJS
785," TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Civil Engineering,GOBCS
786," TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Civil Engineering,GNT1S
787," TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Civil Engineering,LOPENS
788," TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Civil Engineering,LSCS
789," TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Civil Engineering,LSTS
790," TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Civil Engineering,LVJS
791," TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Civil Engineering,LOBCS
