,ID,CollegeName,CourseName,Caste
93,198," Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",Civil Engineering,GSCS
94,205," Bharati Vidyapeeth's College of Engineering, Kolhapur",Civil Engineering,GOPENS
95,206," Bharati Vidyapeeth's College of Engineering, Kolhapur",Civil Engineering,GSCS
96,207," Bharati Vidyapeeth's College of Engineering, Kolhapur",Computer Science and Engineering,GOPENS
97,208," Bharati Vidyapeeth's College of Engineering, Kolhapur",Computer Science and Engineering,GSCS
98,209," B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune",Civil Engineering,GOPENS
99,210," B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune",Civil Engineering,GSCS
100,213," Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",Civil Engineering,GOPENS
101,214," Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",Civil Engineering,GSCS
102,217," Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad",Civil Engineering,GOPENS
103,218," Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad",Civil Engineering,GSCS
104,219," Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad",Computer Science and Engineering,GOPENS
105,220," Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad",Computer Science and Engineering,GSCS
106,221," Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",Civil Engineering,GOPENS
107,222," Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",Civil Engineering,GSCS
108,241," Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",Civil Engineering,GOPENS
109,242," Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",Civil Engineering,GSCS
110,243," Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",Computer Science and Engineering,GOPENS
111,244," Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",Computer Science and Engineering,GSCS
112,245," K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",Civil Engineering,GOPENS
113,246," K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",Civil Engineering,GSCS
114,255," Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune",Computer Science and Engineering,GOPENS
115,256," Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune",Computer Science and Engineering,GSCS
116,261, Navsahyadri Education Society's Group of Institutions,Civil Engineering,GOPENS
117,262, Navsahyadri Education Society's Group of Institutions,Civil Engineering,GSCS
118,265," KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",Civil Engineering,GOPENS
119,266," KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",Civil Engineering,GSCS
120,269," N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",Civil Engineering,GOPENS
121,270," N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",Civil Engineering,GSCS
122,271," N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",Computer Science and Engineering,GOPENS
123,272," N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",Computer Science and Engineering,GSCS
124,273," S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Civil Engineering,GOPENS
125,274," S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Civil Engineering,GSCS
126,275," S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Computer Science and Engineering,GOPENS
127,276," S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Computer Science and Engineering,GSCS
128,277," Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",Civil Engineering,GOPENS
129,278," Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",Civil Engineering,GSCS
130,281," TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",Civil Engineering,GOPENS
131,282," TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",Civil Engineering,GSCS
132,285," Dr. D. Y. Patil School OF Engineering, Lohegaon, Pune",Civil Engineering,GOPENS
133,286," Dr. D. Y. Patil School OF Engineering, Lohegaon, Pune",Civil Engineering,GSCS
134,293," JSPM Narhe Technical Campus, Pune.",Civil Engineering,GOPENS
135,294," JSPM Narhe Technical Campus, Pune.",Civil Engineering,GSCS
136,313," D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.",Civil Engineering,GOPENS
137,314," D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.",Civil Engineering,GSCS
