COLLEGE,REGION
" Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Nashik
" Adsul's Technical Campus, Chas Dist. Ahmednagar",Nashik
" Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",Nashik
" Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Nashik
" K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",Nashik
" College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon",Nashik
" Sanghavi College of Engineering, Varvandi, Nashik.",Nashik
" Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",Nashik
" Vidya Niketan College of Engineering, Bota Sangamner",Nashik
" Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",Nashik
" Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",Nashik
" Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Nashik
" Shri. Vile Parle Kelavani Mandal's Institute of Technology, Dhule",Nashik
" Government College of Engineering & Research, Avasari Khurd",Pune
" Government College of Engineering, Karad",Pune
" College of Engineering, Pune",Pune
" Walchand College of Engineering, Sangli",Pune
" Department of Technology, Shivaji University, Kolhapur",Pune
" TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Pune
" Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Pune
" Progressive Education Society's Modern College of Engineering, Pune",Pune
" Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Pune
" Genba Sopanrao Moze College of Engineering, Baner",Pune
" JSPM'S Jaywantrao Sawant College of Engineering,Pune",Pune
" MIT Academy of Engineering,Alandi, Pune",Pune
" G.H.Raisoni College of Engineering & Management, Wagholi, Pune",Pune
" Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",Pune
" JSPM's Imperial College of Engineering and Research, Wagholi, Pune",Pune
" Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Pune
" G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune",Pune
" Sinhgad College of Engineering, Vadgaon (BK), Pune",Pune
" Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",Pune
" Indira College of Engineering & Management, Pune",Pune
" Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",Pune
" K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",Pune
" Sinhagad Institute of Technology, Lonavala",Pune
" Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa",Pune
" Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",Pune
" Pune District Education Association's College of Engineering, Pune",Pune
" Dr. D. Y. Patil Vidya Pratishthan Society Dr .D. Y. Patil Institute of Engineering & Technology, Pimpri,Pune",Pune
" K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",Pune
" Shri. Balasaheb Mane Prasarak Mandals, Ashokrao Mane Group of Institutions, Kolhapur",Pune
" Shri Vithal Education and Research Institute's College of Engineering, Pandharpur",Pune
" Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",Pune
" Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur",Pune
" D.Y. Patil College of Engineering and Technology, Kolhapur",Pune
" Walchand Institute of Technology, Solapur",Pune
" Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Pune
" Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Pune
" Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli",Pune
" Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara",Pune
" Pune Institute of Computer Technology, Dhankavdi, Pune",Pune
" Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",Pune
" Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",Pune
" Pune Vidyarthi Griha's College of Engineering and Technology, Pune",Pune
" Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon",Pune
" MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune",Pune
" Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",Pune
" All India Shri Shivaji Memorial Society's College of Engineering, Pune",Pune
" Modern Education Society's College of Engineering, Pune",Pune
" All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",Pune
" Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",Pune
" Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",Pune
" Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",Pune
" Bharati Vidyapeeth's College of Engineering, Kolhapur",Pune
" B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune",Pune
" Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",Pune
" Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad",Pune
" Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",Pune
" Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",Pune
" Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",Pune
" Jaywant College of Engineering & Management, Kille Macchindragad Tal. Walva",Pune
